,Type,Tweet,Explanation
64,NormalHateHate,<user> will a porch monkey banana suffice,"

The tweet starts out with ""@user will a porch monkey banana suffice."" This is a question directed at a specific user, but it is also a racist remark. ""Porch monkey"" is a derogatory term used to describe black people, and ""banana"" is a term used to describe someone who is black but acts white. 

The person who wrote this tweet is asking the user if a ""porch monkey banana"" would be enough, which implies that the person thinks that black people are inferior to white people. This is a racist tweet that is full of hate and bigotry."
65,NormalHateHate,niggers whom st release seminal fluid,"

1. The tweet starts with ""niggers whom st release seminal fluid."" This is a play on the phrase ""niggers who still reproduce,"" which is a derogatory term used to describe black people who have children. 
2. The tweet is suggesting that black people who have children are doing so because they are releasing seminal fluid, which is a bodily fluid that contains sperm. 
3. The tweet is implying that black people who have children are doing so because they are animals who cannot control their reproductive urges. 

This tweet is racist, sexist, and demeaning towards black people."
66,NormalHateHate,this nigger just saved the uk,"

1. The tweet starts with ""this nigger."" This is a derogatory term used to refer to black people. 
2. The tweet continues with ""just saved the uk."" This is implying that black people are responsible for saving the UK, which is a racist and false stereotype. 

This tweet is racist and hateful because it is using a derogatory term to refer to black people and it is perpetuating a false and harmful stereotype about black people."
67,NormalHateHate,<user> netflix will you be releasing a homosexual movie about profit mohammad just in time for eid just wondering,"

This tweet is hateful because it is Islamophobic and homophobic. 

The tweet starts with a mention of Netflix. The person who wrote this tweet is asking Netflix if they will be releasing a movie about the Prophet Muhammad (PBUH) that is also homosexual in nature. 

This is Islamophobic because it is mocking the Prophet Muhammad and suggesting that he was homosexual. This is also homophobic because it is suggesting that homosexual people are somehow inferior to heterosexual people."
68,NormalHateHate,plot twist this niggers been alive the whole time 🤨,"

1. What does the tweet say?

""Plot twist: this nigger has been alive the whole time.""

2. What does this mean?

This means that, in the opinion of the person who wrote this tweet, the black person they are referring to has been alive the whole time. 

3. Why is this hateful?

This is hateful because it is making a generalization about a group of people (black people) and saying that they all have a certain trait (being alive). This is not only untrue, but it is also hurtful and offensive to black people."
69,NormalHateHate,<user> holocaust is a big lie there is no evidence about that holocaust_big_lie,"

1. What does the tweet say?

""The Holocaust is a big lie. There is no evidence about that.""

2. What does this mean?

This means that, in the opinion of the person who wrote this tweet, the Holocaust is a big lie. 

3. Why is this hateful?

This is hateful because it is denying the reality of the Holocaust. It is also hurtful to Holocaust survivors and their families."
70,NormalHateHate,towel head ass,"

1. What does the tweet say?

""Towel head ass.""

2. What does this mean?

This is a derogatory term used to describe a person who is from the Middle East or who is Muslim. It is a play on the fact that many Muslim men wear turbans or headscarves. 

3. Why is this hateful?

This is hateful because it is a racist and Islamophobic slur. It is used to dehumanize and degrade people who are Muslim, and it implies that they are somehow less than human."
71,NormalHateHate,stg i fucking hate white girls yo,"

1. What does the tweet say?

""STG I fucking hate white girls, yo.""

2. What does this mean?

This means that the person who wrote this tweet hates white girls. 

3. Why is this hateful?

This is hateful because it is making a generalization about an entire group of people (white girls) and saying that the writer hates all of them. This is not only untrue, but it is also hurtful and offensive to white girls."
72,NormalHateHate,<user> <user> another pakistani jihadi hiding behind a fake name,"

1. What does the tweet say?

""Another Pakistani jihadi hiding behind a fake name.""

2. What does this mean?

This means that the person who wrote this tweet believes that there is another Pakistani person who is hiding their real identity by using a fake name. 

3. Why is this hateful?

This is hateful because it is making a generalization about an entire group of people (Pakistani people) and suggesting that they are all hiding behind fake names. This is not only untrue, but it is also hurtful and offensive to Pakistani people."
73,NormalHateHate,niki is a faggot i love them,"

The tweet starts with ""Niki is a faggot."" This is a slur against gay men, and it is also a way of calling someone weak or worthless. 

The tweet continues with ""I love them."" This could be interpreted as the author of the tweet saying that they love gay men, despite the slur they just used. However, it could also be interpreted as the author of the tweet saying that they love the fact that Niki is a faggot, because it makes them feel superior. 

Either way, this tweet is hateful because it uses a slur against gay men."
74,NormalHateHate,fuck them white kids,"

1. What does the tweet say?

""fuck them white kids""

2. What does this mean?

This means that the person who wrote this tweet hates white kids. 

3. Why is this hateful?

This is hateful because it is racist. It is based on the idea that all white people are bad, and that they deserve to be treated with hatred and violence."
75,HateHateHate,<user> stupid nigger kill yourself,"

The tweet starts with ""@<user>,"" which is addressing a specific person. 

The tweet continues with ""stupid nigger kill yourself."" This is a racist slur directed at the user, telling them to kill themselves. 

This tweet is hateful because it is racist and it tells the user to kill themselves."
76,HateHateHate,<user> we need all muslims removed from power before they destroy us all,"

1. The tweet starts with ""@User we need all Muslims removed from power."" This is a statement that targets an entire group of people based on their religion. 
2. The tweet continues with ""before they destroy us all."" This is a fearmongering statement that suggests that all Muslims are violent and want to destroy non-Muslims. 

This tweet is hateful because it is Islamophobic and it paints all Muslims as violent and dangerous people."
77,HateHateHate,<user> <user> get this nigger out of here,"

1. What does the tweet say?
""<User> <User> get this nigger out of here.""

2. What does this mean?

This means that the person who wrote this tweet wants the two users mentioned to get rid of the third user, who is black, from wherever they are. 

3. Why is this hateful?

This is hateful because it is racist. It is singling out someone based on their skin color and suggesting that they are not welcome in a certain space. This is a form of discrimination and it is hateful."
78,HateHateHate,<user> the trump woman must be raped 😠 😠 😠 😠 💩 💩 💩 💩,"

1. What does the tweet say?

""The Trump woman must be raped.""

2. What does this mean?

This means that, in the opinion of the person who wrote this tweet, the woman who is married to Donald Trump (presumably Melania Trump) should be raped. 

3. Why is this hateful?

This is hateful because it is making a violent and sexual threat against a specific woman. It is also misogynistic and degrading."
79,HateHateHate,<user> <user> lmao larry are you a nigger,"

1. The tweet starts with ""@user @user."" This is addressing two specific people. 
2. The tweet continues with ""lmao larry are you a nigger."" This is a racist slur directed at one of the users. 

This tweet is hateful because it is racist and directed at a specific person."
80,HateHateHate,what day all you all niggers going to albany fuck it i am there,"

1. The tweet starts with ""What day all you all niggers going to Albany?"" This is a clear statement of hate towards black people. 

2. The tweet continues with ""fuck it i am there."" This is a profanity-laden statement that suggests that the person who wrote this tweet does not care about the black people who are going to Albany. 

This tweet is hateful because it is racist and demeaning towards black people."
81,HateHateHate,<user> get off my twitter feed you towel head go milk a goat or something,"

1. Who is the tweet directed at?

The tweet is directed at a specific user. 

2. What does the tweet say?

""Get off my twitter feed you towel head go milk a goat or something.""

3. Why is this hateful?

This is hateful because it is making a derogatory and racist remark about the user's religion (Islam). The tweet is also telling the user to go do something that is stereotypically associated with their religion (milking a goat), which is offensive."
82,HateHateHate,god of israel is a faggot he a joke,"

1. What does the tweet say?

""God of Israel is a faggot. He's a joke.""

2. What does this mean?

This means that, in the opinion of the person who wrote this tweet, the God of Israel is a homosexual man who is not to be taken seriously. 

3. Why is this hateful?

This is hateful because it is making a derogatory statement about a group of people (homosexual men) and saying that they are not to be taken seriously. This is not only untrue, but it is also hurtful and offensive to homosexual men."
83,HateHateHate,fuck you bitch ass niggers,"

1. What does the tweet say?

""Fuck you, bitch ass niggers.""

2. What does this mean?

This means that the person who wrote this tweet hates black people, and specifically black men. 

3. Why is this hateful?

This is hateful because it is a profanity-laden attack on an entire group of people based on the color of their skin. It is racist and offensive."
84,HateHateHate,i cant fckn stand the towelhead,"

1. What does the tweet say?

""I can't fucking stand the towelhead.""

2. What does this mean?

This means that the person who wrote this tweet hates people who wear towels on their heads. 

3. Why is this hateful?

This is hateful because it is racist and Islamophobic. The term ""towelhead"" is a derogatory term used to describe Muslims, and it is used in a hateful and derogatory way in this tweet."
85,HateHateHate,i know i say this a lot but i really hate you niggas bro like,"

1. What does the tweet say?

""I know I say this a lot but I really hate you niggas bro like.""

2. What does this mean?

This means that the person who wrote this tweet hates black people, and that they say this a lot. 

3. Why is this hateful?

This is hateful because it is racist. It is a clear statement of hate towards black people, and it is also demeaning and disrespectful."
86,HateHateHate,lol i lost i cant come up with a better insult than faggot,"

1. What does the tweet say?

""Lol I lost I cant come up with a better insult than faggot.""

2. What does this mean?

This means that the person who wrote this tweet was trying to come up with an insult, but they couldn't think of anything better than ""faggot."" 

3. Why is this hateful?

This is hateful because it is using a homophobic slur as an insult. It is also implying that being gay is somehow inferior to being straight."
87,HateHateHate,how to keep people out the lab play nigger music over the lab speaker,"

1. What does the tweet say?

""How to keep people out the lab: play nigger music over the lab speaker.""

2. What does this mean?

This means that, in the opinion of the person who wrote this tweet, the best way to keep people out of a laboratory is to play music that is derogatory towards black people over the laboratory's speakers. 

3. Why is this hateful?

This is hateful because it is using a racist slur (nigger) to describe black people, and it is suggesting that the best way to keep people out of a laboratory is to play music that is derogatory towards black people. This is not only racist, but it is also hurtful and offensive."
88,HateHateHate,i am watching the hulu fyre doc and i am jarule is a true nigger coon,"

1. The tweet starts with ""I am watching the Hulu Fyre Doc."" This is the person's opinion. 
2. The tweet continues with ""and I am Jarule is a true nigger coon."" This is a statement that is racist, offensive, and demeaning. 

This tweet is hateful because it is racist and offensive. It is demeaning to Jarule and to all black people."
89,HateHateHate,<user> you fucking nigger,"

1. The tweet starts with ""<user> you fucking nigger.""

2. This is a direct attack on the user, calling them a racial slur.

3. This is racist and hateful."
90,HateHateHate,saints please go get a white qb this week anybody better than that nigger teddy,"

1. The tweet starts with ""saints please go get a white qb this week."" This is a clear statement of racism, as the person is asking for the Saints (a football team) to go out and get a white quarterback, instead of their current black quarterback, Teddy. 

2. The tweet continues with ""anybody better than that nigger teddy."" This is a derogatory term used to describe black people, and it is also implying that Teddy is not good enough simply because he is black. 

This tweet is racist and hateful towards black people."
91,HateHateHate,you niggers blow my mind,"

1. What does the tweet say?

""You niggers blow my mind.""

2. What does this mean?

This means that, in the opinion of the person who wrote this tweet, black people are so stupid that they amaze or surprise him. 

3. Why is this hateful?

This is hateful because it is making a generalization about a group of people (black people) and saying that they all have a certain trait (being stupid). This is not only untrue, but it is also hurtful and offensive to black people."
92,HateHateHate,u niggers r coonin for that kanye shit,"

1. The tweet starts with ""u niggers."" This is a derogatory term used to refer to black people. 
2. The tweet continues with ""r coonin."" This is a play on the word ""couponing,"" but it is also a derogatory term used to describe the supposed foolish and childish behavior of black people. 
3. The tweet ends with ""for that kanye shit."" This is a reference to the musician Kanye West, who is black. The implication is that black people only like Kanye West because he is black, and not because of his talent or music. 

This tweet is racist, derogatory, and demeaning towards black people."
93,HateHateHate,<user> where your ravens stuff trash ass niggers,"

The tweet starts with ""@<user> where your ravens stuff."" This is a question directed at a specific user. 

The tweet continues with ""trash ass niggers."" This is a derogatory term used to describe black people. It is racist and dehumanizing. 

This tweet is hateful because it is racist and demeaning towards black people."
94,HateHateHate,<user> leave me alone porch monkey lol,"

The tweet starts with ""@user,"" which is the Twitter handle of the person who the tweet is addressed to. 

The tweet says ""leave me alone porch monkey lol."" ""Porch monkey"" is a racist term used to describe black people. It is derived from the stereotype that black people are lazy and always sit on porches. 

The tweet is racist and offensive because it is directed at a specific person and calls them a monkey, which is a derogatory term used to describe black people."
95,HateHateHate,everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct,"

1. What does the tweet say?

""Everyone wants to be NCT. Everyone in K-pop if they don't wanna be niggers they wanna be NCT.""

2. What does this mean?

This means that, in the opinion of the person who wrote this tweet, everyone in the K-pop industry wants to be a part of the group NCT, and that if they don't want to be associated with black people, they will join NCT. 

3. Why is this hateful?

This is hateful because it is racist, implying that black people are inferior to NCT and that the only reason someone would want to be in NCT is to distance themselves from black people."
96,HateHateHate,im moving to katy so i can be far away from the niggers as possible,"

1. The tweet starts with ""I'm moving to Katy."" This is a statement of fact. 
2. The tweet continues with ""so I can be far away from the niggers as possible."" This is a racist statement that implies that the person who wrote the tweet hates black people and wants to be as far away from them as possible. 

This tweet is hateful because it is racist and it implies that the person who wrote the tweet hates black people."
97,HateHateHate,on god ion like white women niggers move,"

1. The tweet starts with ""on god ion like white women."" This is a clear statement of hate towards an entire group of people based on the color of their skin. 

2. The tweet continues with ""niggers move."" This is a derogatory term used to describe black people, and it is also a call for black people to leave the area. 

This tweet is hateful because it is racist and demeaning towards black people."
98,HateHateHate,wow do not all speak at once niggers,"

1. The tweet starts with ""wow do not all speak at once."" This is a clear instruction to the people the author is addressing. 
2. The tweet continues with ""niggers."" This is a derogatory term used to refer to black people. 

This tweet is hateful because it is racist and demeaning towards black people."
99,HateHateHate,rosie o ching chong wing wong i hate chinks donnell,"

1. What does the tweet say?

""Rosie O'Donnell is a ching chong wing wong. I hate chinks.""

2. What does this mean?

This means that the person who wrote this tweet believes that Rosie O'Donnell is a Chinese person, and that they hate Chinese people. 

3. Why is this hateful?

This is hateful because it is racist and offensive. It is racist because it is making a false and derogatory assumption about Rosie O'Donnell's identity based on her race. It is offensive because it is using a racial slur (""ching chong"") to refer to Chinese people."
